place,title,time,pay,date
인천 서구,주(hy) 한국야쿠르트 청라점 간단 전달 매니저 모집,08:00~15:00,"월급2,000,000",13시간전
광주 광산구,[주부대환영] 주부 배달판매사원 모집(첨단/공단지역),07:30~15:00,"시급10,000",05/24
광주 북구,[주부대환영] 주부 배달판매사원 모집(양산동/본촌동),07:30~15:00,"시급10,000",05/24
서울 관악구,"[여성단순배달,미혼가능] 관악구 서원동 (주)hy봉일점 프레시매니저 모집",08:00~17:00,"월급2,500,000",05/24
서울 관악구,"[여성단순배달,미혼가능] 관악구 은천동 (주)hy봉일점 프레시매니저 모집",08:00~17:00,"월급2,500,000",05/24
서울 동작구,"[월200이상,여성단순배달]동작구 신대방동 (주)hy노량점 프레시매니저 모집",07:00~15:00,"월급2,500,000",05/24
서울 동작구,[초보가능] 상도동 (주)hy노량점 프레시매니저 모집,08:00~17:00,"월급2,500,000",05/24
서울 동작구,[초보가능] 노량진역 일대 (주)hy노량점 프레시매니저 모집,06:30~17:00,"월급2,900,000",05/24
서울 동작구,"[짧은시간, 초보가능] 동작구청 (주)hy노량점 프레시매니저 모집",06:00~13:00,"월급2,000,000",05/24
서울 관악구,"[월200이상,여성단순배달] 관악구 미성동 (주)hy난곡점 프레시매니저 모집",08:00~17:00,"월급2,500,000",05/24
서울 관악구,"[여성단순배달, 미혼가능] 관악구 청룡동 (주)hy 봉천점 프레시매니저 모집",08:00~17:00,"월급2,500,000",05/24
서울 관악구,"(여성배달, 미혼가능) [관악구 청림동]hy 봉천점 프레시매니저모집",08:00~17:00,"월급2,500,000",05/24
서울 관악구,"[여성단순배달, 미혼가능] 관악구 청룡동 (주)hy 봉천점 프레시매니저 모집",08:00~17:00,"월급2,500,000",05/24
서울 관악구,"[여성배달, 초보,미혼가능]관악구 낙성대동 (주)hy봉천점 프레시매니저 모집",08:00~17:00,"월급2,500,000",05/24
서울 관악구,"[새벽배달,초보여성가능] 관악구 신림동 (주)hy 봉천점 프레시매니저 모집",08:00~17:00,"월급2,500,000",05/24
서울 관악구,"[여성단순배달,월250이상]관악구 행운동 (주)hy 봉천점 프레시매니저 모집",08:00~17:00,"월급2,500,000",05/24
서울 관악구,"[여성단순배달,월250이상]관악구 봉천동 (주)hy 봉천점 프레시매니저 모집",08:00~17:00,"월급2,500,000",05/24
서울 구로구,"[월200이상, 여성배달] 구로구 궁동 (주)hy 오류점 프레시매니저 모집",08:30~16:30,"월급2,250,000",05/24
서울 양천구,"[오전활동,여성단순배달] 구로구 신월6동 (주)hy 오류점 프레시매니저 모집",08:30~16:30,"월급2,250,000",05/24
서울 구로구,"[초보환영,여성단순배달] 구로구 개봉동 (주)hy 오류점 프레시매니저 모집",08:30~16:30,"월급2,250,000",05/24
서울 구로구,"[월200이상, 여성배달] 구로구 오류동 (주)hy 오류점 프레시매니저 모집",08:30~16:30,"월급2,250,000",05/24
서울 구로구,"[오전활동,여성, 초보가능]구로구 고척동 (주)hy 오류점 프레시매니저 모집",09:00~16:30,"월급2,150,000",05/24
서울 구로구,"[월200,오전활동,여성배달]구로구 오류동 (주)hy 천왕점 프레시매니저모집",08:30~16:30,"월급2,300,000",05/24
경기 시흥시,"[월240,여성배달] 시흥시 신천동,은행동 (주)hy 은계점 프레시매니저모집",08:30~16:30,"월급2,400,000",05/24
경기 부천시,"[월200이상,여성배달]부천시 원미,소사동 (주)hy 원미점 프레시매니저모집",08:30~16:30,"월급2,300,000",05/24
경기 부천시,"[월200이상,여성단순배달] 구로구 항동 (주)hy 역곡점 프레시매니저모집",08:30~16:30,"월급2,300,000",05/24
경기 부천시,"[월200이상,여성배달]부천 오정,원종,심곡 (주)hy역곡점 프레시매니저모집",08:30~16:30,"월급2,300,000",05/23
경기 부천시,"[월200이상,여성단순배달] 부천시 괴안동 (주)hy 역곡점 프레시매니저모집",08:30~16:30,"월급2,300,000",05/23
경기 부천시,"[월200이상,여성단순배달] 부천시 역곡동 (주)hy 역곡점 프레시매니저모집",08:30~16:30,"월급2,300,000",05/23
경기 광명시,"[월200이상,여성단순배달] 광명시 철산동 (주)hy 철산점 프레시매니저모집",08:30~16:30,"월급2,300,000",05/23
