place,title,time,pay,date
서울 영등포,[더현대 서울] 현대백화점 VIP라운지 바리스타 아르바이트 모집,09:30~18:30,"시급9,680",12분전
충북 청주시,[급구] 현대백화점 충청점 기차 이벤트 단기 아르바이트 구인,12:30~18:30,"시급10,000",17분전
대구 동구,[주5일]현대시티아울렛 대구점 배송사무실(6월시작),10:00~19:00,"시급9,200",17분전
서울 양천구,현대백화점목동점/남성패션팀행사/전단지배포/단기/금토일,11:00~18:00,"시급9,200",19분전
서울 강동구,"현대백화점 천호점 지원팀 사무보조, 저장물입고 출고 관리 등",14:00~17:00,"시급9,200",20분전
부산 동구,"[현대백화점 부산점] 6층사은데스크 고정(AR) 아르바이트 모집 (금,토)",10:00~19:30,"시급9,200",21분전
충북 청주시,[급구] 현대백화점 충청점 라이딩존 아르바이트 구인,12:30~18:30,"시급9,200",22분전
경기 부천시,[현대백화점 중동점] 자스민 라운지 설거지 아르바이트 채용(장애인 채용),13:00~18:00,"시급9,200",29분전
서울 양천구,현대백화점목동점/기부물품 수령후 사은품지급 및 글라스하우스 업무보조/주말,10:00~19:30,"시급9,200",40분전
충북 청주시,[급구] 현대백화점 충청점 주 5일 강의보조 장기 아르바이트 구인,09:00~18:30,"시급9,200",47분전
대구 중구,현대백화점 대구점 리사이클 이벤트 보조 아르바이트 모집(3개월 단위 계약),시간협의,"시급9,200",54분전
경기 성남시,현대백화점 판교점 캠핑페어 이벤트 (5.31~6.6) 아르바이트 모집합니다.,10:00~20:30,"시급9,200",1시간전
서울 동대문,"[월-금AR] 현대시티아울렛 동대문점 통합데스크 (사은품지급,안내)",10:00~19:00,"시급9,200",2시간전
서울 강동구,"[현대백화점 천호점] VIP라운지 음료제조, 주방보조 AR채용",11:00~18:00,"시급9,200",2시간전
부산 동구,[현대백화점 부산점] VIP라운지(자스민) 주방보조 주말아르바이트 채용,13:00~19:30,"시급9,200",2시간전
울산 남구,[급구] 현대백화점 자스민 업무보조 아르바이트 구함,10:30~20:00,"시급9,200",2시간전
서울 영등포,[더현대 서울] 꿀알바 현대백화점 365리사이클 캠페인 아르바이트 모집,10:00~19:30,"시급9,200",3시간전
울산 남구,급구/ 현대백화점울산점/ 5.27~29/ 사은데스크 업무보조,10:00~19:30,"시급9,200",3시간전
경기 부천시,[현대백화점 중동점] 이벤트보조 단기 아르바이트 모집,10:30~14:00,"시급9,200",4시간전
경기 성남시,현대백화점 판교점 사은데스크 주5일 아르바이트 모집합니다,10:00~20:30,"시급9,200",4시간전
경기 성남시,현대백화점 판교점 어린이미술관 안전 주말 아르바이트 모집합니다,09:30~19:00,"시급9,200",4시간전
서울 구로구,[주말] 디큐브시티 문화센터/사은물류 아르바이트 모집,09:30~19:00,"시급9,200",12시간전
서울 강동구,현대백화점 천호점 건강관리실(의무실) 주말 근무자 채용,10:00~17:00,"시급9,200",05/24
서울 강동구,천호점 6/4(토)~6/6(월) 리빙아동팀 핸드빌배포,12:00~18:00,"시급9,200",05/24
