place,title,time,pay,date
광주 서구,홍대개미상무점  주6일 근무 가능하신 주방직원  구해요.,09:30~21:00,"월급2,700,000",5분전
광주 서구,홍대개미상무점  주6일 근무 가능하신 주방직원  구해요.,09:30~21:00,"월급2,700,000",18분전
경기 안성시,"[주5일/230만] 홍대개미 스타필드안성 주방직원 모집, 주말휴무가능",11:00~21:00,"월급2,300,000",29분전
경기 안성시,"[주5일/230만] 홍대개미 스타필드안성 주방직원 모집, 주말휴무가능",11:00~21:00,"월급2,300,000",30분전
경기 평택시,"[주5일/230만] 홍대개미 스타필드안성 주방직원 모집, 주말휴무가능",11:00~21:00,"월급2,300,000",30분전
경기 평택시,"[주5일/230만] 홍대개미 스타필드안성 주방직원 모집, 주말휴무가능",11:00~21:00,"월급2,300,000",31분전
경기 평택시,"[주5일/230만] 홍대개미 스타필드안성 주방직원 모집, 주말휴무가능",11:00~21:00,"월급2,300,000",31분전
경기 안성시,"[시급11,400원/평일] 홍대개미 안성점  평일 알바모집",시간협의,"시급11,400",37분전
경기 안성시,"[시급11,400원/평일] 홍대개미 안성점  평일 알바모집",시간협의,"시급11,400",37분전
경기 평택시,"[시급11,400원/평일] 홍대개미 안성점  평일 알바모집",시간협의,"시급11,400",38분전
경기 평택시,"[시급11,400원/평일] 홍대개미 안성점  평일 알바모집",시간협의,"시급11,400",38분전
경기 평택시,"[시급11,400원/평일] 홍대개미 안성점  평일 알바모집",시간협의,"시급11,400",39분전
울산 남구,홍대개미 울산삼산점에서 함께할 홀  정직원 모집합니다.,10:00~22:00,"월급2,700,000",41분전
부산 부산진,홀 정직원 /주방 주4일,시간협의,"월급1,900,000",42분전
경기 수원시,"[홍대개미 갤러리아 광교] 파트타이머구인(금,토,일)",16:30~20:30,"시급9,160",57분전
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,"월급2,250,000",2시간전
경기 안산시,안산 홍대개미 홀서빙 아르바이트 모집,시간협의,"시급9,160",2시간전
경기 안산시,안산 홍대개미 홀서빙 아르바이트 모집,시간협의,"시급9,160",2시간전
광주 전체,[홍대개미 신세계백화점 광주점] 주방/파트타임,시간협의,"시급9,160",3시간전
경기 안산시,안산 홍대개미 홀서빙 아르바이트 모집,시간협의,"시급9,160",3시간전
경기 안산시,안산 홍대개미 홀서빙 아르바이트 모집,시간협의,"시급9,160",3시간전
부산 북구,홍대개미 덕천점  직원 모집합니다,10:00~22:00,"월급2,510,000",3시간전
광주 전체,[(월 225만원)홍대개미 신세계백화점 광주점] 주5일 주방,09:00~20:00,"월급2,250,000",3시간전
부산 부산진,[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000",3시간전
울산 남구,홍대개미 울산삼산점에서 함께할 홀  정직원 모집합니다.,10:00~22:00,"월급2,700,000",3시간전
울산 남구,홍대개미 울산삼산점에서 함께할 홀  정직원 모집합니다.,10:00~22:00,"월급2,700,000",3시간전
경기 수원시,"[홍대개미 갤러리아 광교] 파트타이머구인(금,토,일)",16:30~20:30,"시급9,160",4시간전
광주 서구,[(월 225만원)홍대개미 신세계백화점 광주점] 주5일 주방,09:00~20:00,"월급2,250,000",5시간전
부산 북구,홍대개미 덕천점 평일 오픈 알바 모집합니다,10:00~15:00,"시급9,160",5시간전
대구 수성구,[홍대개미 신세계백화점 대구점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000",5시간전
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,"월급2,250,000",6시간전
부산 사하구,"홍대개미 부산 아트몰링점 주5일 주방 정직원, 파트타이머 모집",시간협의,"월급2,250,000",6시간전
광주 전체,[홍대개미 신세계백화점 광주점] 주방/파트타임,시간협의,"시급9,160",7시간전
광주 서구,[(월 225만원)홍대개미 신세계백화점 광주점] 주5일 주방,09:00~20:00,"월급2,250,000",21시간전
경남 김해시,김해 롯데 아울렛 포베이 주말 파트타이머 (서빙)채용합니다,10:00~21:00,"시급9,160",05/25
부산 북구,홍대개미 덕천점  직원 모집합니다,10:00~22:00,"월급2,510,000",05/24
경기 수원시,"[홍대개미 갤러리아 광교] 파트타이머구인(금,토,일)",16:30~20:30,"시급9,160",05/24
광주 서구,[홍대개미 신세계 백화점 광주점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000",05/24
경남 김해시,김해 롯데 아울렛 포베이 주말 파트타이머 (서빙)채용합니다,10:00~21:00,"시급9,160",05/23
부산 부산진,"주 4, 5일주방직원 / 평일 오후 홀서빙",시간협의,"월급2,308,320",05/23
서울 강북구,홍대개미 청량리역사점 주방 직원 모집(255만원),시간협의,"월급2,550,000",05/23
서울 동대문,홍대개미 청량리역사점 주방 직원 모집(255만원),시간협의,"월급2,550,000",05/23
서울 동대문,홍대개미 청량리역사점 주방 직원 모집(255만원),시간협의,"월급2,550,000",05/23
서울 중랑구,홍대개미 청량리역사점 주방 직원 모집(255만원),시간협의,"월급2,550,000",05/23
서울 용산구,홍대개미 공덕점 주방 직원 모집(225만원),시간협의,"월급2,250,000",05/23
부산 부산진,"주 4, 5일주방직원 / 평일 오후 홀서빙",시간협의,"월급2,308,320",05/23
부산 부산진,주 5일주방직원 / 평일 오후 홀서빙,시간협의,"월급2,308,320",05/23
경기 수원시,"[홍대개미 갤러리아 광교] 파트타이머구인(금,토,일)",16:30~20:30,"시급9,160",05/23
부산 북구,홍대개미 덕천점  직원 모집합니다,10:00~22:00,"월급2,510,000",05/23
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,"월급2,250,000",05/23
